ticker,sector,industry,market_cap
INFY,Technology,Information Technology Services,46537940992
INGR,Consumer Defensive,Packaged Foods,6219054080
INIO,Industrials,Specialty Industrial Machinery,13440000000
INSM,Healthcare,Biotechnology,25937170432
INSP,Healthcare,Medical Devices,2166543616
INTC,Technology,Semiconductors,516848943104
INTU,Technology,Software - Application,89958318080
IONS,Healthcare,Biotechnology,7922837504
IOT,Technology,Software - Infrastructure,24876507136
IOVA,Healthcare,Biotechnology,4158277888
IP,Consumer Cyclical,Packaging & Containers,17883576320
IPG,,,
IPGP,Technology,Semiconductor Equipment & Materials,3176904960
IQ,Communication Services,Entertainment,982105600
IQV,Healthcare,Diagnostics & Research,44456812544
IR,Industrials,Specialty Industrial Machinery,27691520000
IREN,Financial Services,Capital Markets,16280729600
IRTC,Healthcare,Medical Devices,3678671104
ISRG,Healthcare,Medical Instruments & Supplies,134974095360
IT,Technology,Information Technology Services,12685366272
ITT,Industrials,Specialty Industrial Machinery,
ITUB,Financial Services,Banks - Regional,90985553920
ITW,Industrials,Specialty Industrial Machinery,76339216384
IVV,,,
IVZ,Financial Services,Asset Management,13578324992
IWF,,,
IWM,,,
J,Industrials,Engineering & Construction,16924953600
JACK,Consumer Cyclical,Restaurants,266400896
JAZZ,Healthcare,Biotechnology,15669081088
JBL,Technology,Electronic Components,30881802240
JBLU,Industrials,Airlines,1614896256
JBTM,Industrials,Specialty Industrial Machinery,5837698048
JCI,Industrials,Building Products & Equipment,83831586816
JD,Consumer Cyclical,Internet Retail,36740349952
JEF,Financial Services,Capital Markets,9797392384
JHG,,,
JKHY,Technology,Information Technology Services,11576643584
JLL,Real Estate,Real Estate Services,15687477248
JNJ,Healthcare,Drug Manufacturers - General,637731471360
JOBY,Industrials,Airports & Air Services,6231592448
JOYY,Communication Services,Internet Content & Information,3777816064
JPM,Financial Services,Banks - Diversified,916197081088
JSM,,,
KBR,Industrials,Engineering & Construction,4640553984
KC,Technology,Software - Application,2878439168
KDP,Consumer Defensive,Beverages - Non-Alcoholic,42804781056
KEEL,Technology,Information Technology Services,2034903680
KEY,Financial Services,Banks - Regional,23252731904
KEYS,Technology,Scientific & Technical Instruments,53076357120
KGC,Basic Materials,Gold,33167290368
KHC,Consumer Defensive,Packaged Foods,29117902848
KKR,Financial Services,Asset Management,92899352576
KLAC,Technology,Semiconductor Equipment & Materials,217219940352
KLAR,Financial Services,Credit Services,5418197504
KLIC,Technology,Semiconductor Equipment & Materials,4142111232
KMB,Consumer Defensive,Household & Personal Products,32517916672
KMI,Energy,Oil & Gas Midstream,68540973056
KMT,Industrials,Tools & Accessories,2227043584
KMX,Consumer Cyclical,Auto & Truck Dealerships,8560787456
KN,Technology,Electronic Components,2960322048
KNX,Industrials,Trucking,11121931264
KO,Consumer Defensive,Beverages - Non-Alcoholic,380775596032
KPLT,Technology,Software - Infrastructure,782201536
KPTI,Healthcare,Biotechnology,36290336
KR,Consumer Defensive,Grocery Stores,37035438080
KRC,Real Estate,REIT - Office,4074669312
KSPI,Technology,Software - Infrastructure,18770892800
KSS,Consumer Cyclical,Department Stores,1850870656
KVUE,Consumer Defensive,Household & Personal Products,34180165632
KVYO,Technology,Software - Application,5177540608
KWEB,,,
L,Financial Services,Insurance - Property & Casualty,22209026048
LAD,Consumer Cyclical,Auto & Truck Dealerships,7730143232
LAMR,Real Estate,REIT - Specialty,15067941888
LAW,Technology,Software - Application,274174592
LBRDA,Communication Services,Telecom Services,5177567232
LBRDK,Communication Services,Telecom Services,
LBTYA,Communication Services,Telecom Services,3629171712
LDOS,Technology,Information Technology Services,16386772992
LEA,Consumer Cyclical,Auto Parts,8482956288
LECO,Industrials,Tools & Accessories,13766246400
LEN,Consumer Cyclical,Residential Construction,19345084416
LEVI,Consumer Cyclical,Apparel Manufacturing,7662374400
LFUS,Technology,Electronic Components,10009900032
LGND,Healthcare,Biotechnology,5412916224
LH,Healthcare,Diagnostics & Research,26157993984
LHX,Industrials,Aerospace & Defense,46939119616
LI,Consumer Cyclical,Auto Manufacturers,11497634816
LII,Industrials,Building Products & Equipment,12402099200
LILA,Communication Services,Telecom Services,1747427968
LIN,Basic Materials,Specialty Chemicals,213166456832
LINE,Real Estate,REIT - Industrial,9668837376
LITE,Technology,Communication Equipment,75442634752
LIVN,Healthcare,Medical Devices,4367765504
LKNCY,Consumer Cyclical,Restaurants,9879821312
LKQ,Consumer Cyclical,Auto Parts,6050545152
LLY,Healthcare,Drug Manufacturers - General,1017748914176
LLYVB,Communication Services,Entertainment,9433311232
LMT,Industrials,Aerospace & Defense,123198414848
LNG,Energy,Oil & Gas Midstream,56325996544
LNT,Utilities,Utilities - Regulated Electric,17141311488
LNTH,Healthcare,Drug Manufacturers - Specialty & Generic,6574717952
LNWO,Consumer Cyclical,Gambling,6478521344
LOGC,Consumer Cyclical,Internet Retail,668004288
LOW,Consumer Cyclical,Home Improvement Retail,109341007872
LPLA,Financial Services,Capital Markets,27048763392
LPSN,Technology,Software - Application,38245620
LPX,Industrials,Building Products & Equipment,4541524992
LQD,,,
LRCX,Technology,Semiconductor Equipment & Materials,334590738432
LSCC,Technology,Semiconductors,15026803712
LTH,Consumer Cyclical,Leisure,9180934144
LULU,Consumer Cyclical,Apparel Retail,10828547072
LUMN,Communication Services,Telecom Services,7354205696
LUV,Industrials,Airlines,19152500736
LVS,Consumer Cyclical,Resorts & Casinos,27290888192
LW,Consumer Defensive,Packaged Foods,6516014080
LYFT,Technology,Software - Application,6003648512
LYV,Communication Services,Entertainment,39572828160
M,Consumer Cyclical,Department Stores,5708015104
MA,Financial Services,Credit Services,500175372288
MAA,Real Estate,REIT - Residential,14804449280
MAC,Real Estate,REIT - Retail,6607205376
MANE,Healthcare,Biotechnology,4330511360
MAR,Consumer Cyclical,Lodging,88060780544
MAS,Industrials,Building Products & Equipment,13553677312
MAT,Consumer Cyclical,Leisure,3884091648
MBC,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1415276416
MCD,Consumer Cyclical,Restaurants,179857702912
MCHP,Technology,Semiconductors,38347276288
MCK,Healthcare,Medical Distribution,104200298496
MCO,Financial Services,Financial Data & Stock Exchanges,81047838720
MDB,Technology,Software - Infrastructure,30844037120
MDGL,Healthcare,Biotechnology,11860733952
MDLN,Healthcare,Medical Instruments & Supplies,43510505472
MDLZ,Consumer Defensive,Confectioners,79201296384
MDRX,Healthcare,Health Information Services,516615808
MDT,Healthcare,Medical Devices,120558747648
MDU,Utilities,Utilities - Regulated Gas,3906189312
MEDP,Healthcare,Diagnostics & Research,17153945600
MELI,Consumer Cyclical,Internet Retail,93753090048
MET,Financial Services,Insurance - Life,62111514624
META,Communication Services,Internet Content & Information,1694906843136
MGM,Consumer Cyclical,Resorts & Casinos,10107403264
MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",8743640064
MIAX,Financial Services,Capital Markets,3957328128
MICC,Consumer Defensive,Packaged Foods,11649938432
MIDD,Industrials,Specialty Industrial Machinery,5085253120
MIR,Industrials,Specialty Industrial Machinery,3908724224
MKC,Consumer Defensive,Packaged Foods,13531298816
MKL,Financial Services,Insurance - Property & Casualty,22119792640
MKSI,Technology,Scientific & Technical Instruments,15546291200
MKTX,Financial Services,Capital Markets,5743832064
MLCO,Consumer Cyclical,Resorts & Casinos,1787147008
MLM,Basic Materials,Building Materials,35660963840
MMM,Industrials,Conglomerates,84483072000
MMSI,Healthcare,Medical Instruments & Supplies,5120765952
MNDY,Technology,Software - Application,4100589568
MNST,Consumer Defensive,Beverages - Non-Alcoholic,87853678592
MO,Consumer Defensive,Tobacco,117007294464
MOH,Healthcare,Healthcare Plans,10874825728
MOS,Basic Materials,Agricultural Inputs,7999844352
MPC,Energy,Oil & Gas Refining & Marketing,115447062528
MPWR,Technology,Semiconductors,56026210304
MQ,Technology,Software - Infrastructure,1696810880
MRCY,Industrials,Aerospace & Defense,5176217600
MRK,Healthcare,Drug Manufacturers - General,354310520832
MRNA,Healthcare,Biotechnology,57797382144
MRSH,Financial Services,Insurance Brokers,85769175040
MRVI,Healthcare,Biotechnology,2568430592
MRVL,Technology,Semiconductors,199800029184
MS,Financial Services,Capital Markets,317592043520
MSCI,Financial Services,Financial Data & Stock Exchanges,39851229184
MSFT,Technology,Software - Infrastructure,3706906738688
MSGS,Communication Services,Entertainment,9458360320
MSI,Technology,Communication Equipment,77634789376
MSM,Industrials,Industrial Distribution,
MSTR,Technology,Software - Application,52345831424
MTB,Financial Services,Banks - Regional,33919045632
MTCH,Communication Services,Internet Content & Information,10080613376
MTD,Healthcare,Diagnostics & Research,26561867776
MTDR,Energy,Oil & Gas E&P,7858404864
MTG,Financial Services,Insurance - Specialty,6049131008
MTN,Consumer Cyclical,Resorts & Casinos,4950565888
MTSI,Technology,Semiconductors,18036140032
MTW,Industrials,Farm & Heavy Construction Machinery,742876544
MTZ,Industrials,Engineering & Construction,17870661632
MU,Technology,Semiconductors,1045837512704
MWA,Industrials,Specialty Industrial Machinery,3554981888
MYRG,Industrials,Engineering & Construction,4229059840
NAMS,Healthcare,Biotechnology,2493561856
NBIS,Communication Services,Internet Content & Information,56790556672
NBIX,Healthcare,Drug Manufacturers - Specialty & Generic,15307350016
NBR,Energy,Oil & Gas Drilling,1356000768
NDAQ,Financial Services,Financial Data & Stock Exchanges,50288394240
NE,Energy,Oil & Gas Drilling,7485623808
NEE,Utilities,Utilities - Regulated Electric,170205396992
NEM,Basic Materials,Gold,129108918272
NET,Technology,Software - Infrastructure,118004817920
NFLX,Communication Services,Entertainment,325765824512
NG,Basic Materials,Gold,3150444800
NIO,Consumer Cyclical,Auto Manufacturers,9032930304
NKE,Consumer Cyclical,Footwear & Accessories,54014189568
NOC,Industrials,Aerospace & Defense,75551244288
NOK,Technology,Communication Equipment,55202078720
NOV,Energy,Oil & Gas Equipment & Services,7498516992
NOW,Technology,Software - Application,150302867456
NP,Financial Services,Insurance Brokers,4250108672
NRG,Utilities,Utilities - Independent Power Producers,22339045376
NSC,Industrials,Railroads,72072331264
NSSC,Industrials,Security & Protection Services,1281583104
NTAP,Technology,Software - Infrastructure,37414875136
NTCT,Technology,Software - Infrastructure,2775237888
NTES,Communication Services,Electronic Gaming & Multimedia,76580323328
NTNX,Technology,Software - Infrastructure,18438561792
NTR,Basic Materials,Agricultural Inputs,37756862464
NTRA,Healthcare,Diagnostics & Research,50278207488
NTRS,Financial Services,Asset Management,32459075584
NTSK,Technology,Software - Infrastructure,7154371584
NU,Financial Services,Banks - Regional,68692877312
NUE,Basic Materials,Steel,58409148416
NUVB,Healthcare,Biotechnology,2027736704
NVAX,Healthcare,Biotechnology,1538118912
NVDA,Technology,Semiconductors,5102985281536
NVGS,Energy,Oil & Gas Midstream,1504736768
NVO,Healthcare,Drug Manufacturers - General,188554215424
NVR,Consumer Cyclical,Residential Construction,16873809920
NVS,Healthcare,Drug Manufacturers - General,263743193088
NVST,Healthcare,Medical Instruments & Supplies,3992153088
NVT,Industrials,Electrical Equipment & Parts,23839246336
NWL,Consumer Defensive,Household & Personal Products,2416982528
NWS,Communication Services,Entertainment,18086402048
NXDR,Communication Services,Internet Content & Information,941975872
NXH,Consumer Cyclical,Internet Retail,338044992
NXPI,Technology,Semiconductors,56663814144
NXST,Communication Services,Broadcasting,5242956288
NXT,Technology,Solar,12402455552
NYT,Communication Services,Publishing,11715235840
OC,Industrials,Building Products & Equipment,10178308096
ODFL,Industrials,Trucking,37668257792
OFRM,Consumer Defensive,Packaged Foods,705023104
OGN,Healthcare,Drug Manufacturers - General,3591184128
OI,Consumer Cyclical,Packaging & Containers,989568768
OIH,,,
OIS,Energy,Oil & Gas Equipment & Services,520747072
OKE,Energy,Oil & Gas Midstream,60584828928
OKLO,Utilities,Utilities - Independent Power Producers,6735698944
OKTA,Technology,Software - Infrastructure,33375064064
OLN,Basic Materials,Chemicals,1934852736
OMC,Communication Services,Advertising Agencies,22178125824
OMCL,Healthcare,Health Information Services,1488979584
OMF,Financial Services,Credit Services,7079134208
ON,Technology,Semiconductors,28525373440
ONB,Financial Services,Banks - Regional,9832048640
ONTO,Technology,Semiconductor Equipment & Materials,14731359232
OPCH,Healthcare,Medical Care Facilities,3532685056
OPEN,Real Estate,Real Estate Services,2573294080
OPLN,Consumer Cyclical,Auto & Truck Dealerships,4254134528
OPTU,Communication Services,Telecom Services,375748224
ORCL,Technology,Software - Infrastructure,412224520192
ORLY,Consumer Cyclical,Auto Parts,69182324736
OSCR,Healthcare,Healthcare Plans,10030962688
OSK,Industrials,Farm & Heavy Construction Machinery,8864283648
OTIS,Industrials,Specialty Industrial Machinery,26424162304
OUT,Real Estate,REIT - Specialty,4977582080
OVV,Energy,Oil & Gas E&P,18576457728
OXY,Energy,Oil & Gas E&P,63537053696
P,Technology,Computer Hardware,32584628224
PACB,Healthcare,Medical Devices,422729824
PAGP,Energy,Oil & Gas Midstream,6524012032
PAGS,Technology,Software - Infrastructure,2710978560
PANW,Technology,Software - Infrastructure,308729577472
PARA,Technology,Software - Application,3479941
PATH,Technology,Software - Infrastructure,7590628352
PAYC,Technology,Software - Application,10388557824
PAYO,Technology,Software - Infrastructure,2412652032
PAYX,Technology,Software - Application,42343878656
PBI,Industrials,Integrated Freight & Logistics,2366177024
PBR,Energy,Oil & Gas Integrated,140197183488
PBR-A,Energy,Oil & Gas Integrated,133985599488
PBYI,Healthcare,Biotechnology,482905664
PCAR,Industrials,Farm & Heavy Construction Machinery,64511287296
PCG,Utilities,Utilities - Regulated Electric,28894834688
PCH,,,
PCOR,Technology,Software - Application,8214706176
PCRX,Healthcare,Drug Manufacturers - Specialty & Generic,946719872
PCTY,Technology,Software - Application,8196936704
PD,Technology,Software - Application,1154580096
PDD,Consumer Cyclical,Internet Retail,112334446592
PEG,Utilities,Utilities - Regulated Electric,35043909632
PEGA,Technology,Software - Application,6280268800
PENN,Consumer Cyclical,Resorts & Casinos,2387892992
PEP,Consumer Defensive,Beverages - Non-Alcoholic,185031524352
PETS,Healthcare,Pharmaceutical Retailers,35119840
PFE,Healthcare,Drug Manufacturers - General,156940517376
PFGC,Consumer Defensive,Food Distribution,14057985024
PG,Consumer Defensive,Household & Personal Products,341316698112
PGR,Financial Services,Insurance - Property & Casualty,127920455680
PH,Industrials,Specialty Industrial Machinery,116390977536
PHM,Consumer Cyclical,Residential Construction,22763290624
PII,Consumer Cyclical,Recreational Vehicles,3301257984
PINS,Communication Services,Internet Content & Information,10700484608
PK,Real Estate,REIT - Hotel & Motel,3071416320
PKG,Consumer Cyclical,Packaging & Containers,20493498368
PLD,Real Estate,REIT - Industrial,131612909568
PLNT,Consumer Cyclical,Leisure,3854278144
PLTK,Communication Services,Electronic Gaming & Multimedia,902054016
PLTR,Technology,Software - Infrastructure,422818119680
PM,Consumer Defensive,Tobacco,301372702720
PNC,Financial Services,Banks - Regional,95922053120
PNR,Industrials,Specialty Industrial Machinery,9015803904
PODD,Healthcare,Medical Devices,9581629440
POOL,Industrials,Industrial Distribution,6058729472
POST,Consumer Defensive,Packaged Foods,3500489728
PPG,Basic Materials,Specialty Chemicals,23294816256
PPLI,Communication Services,Internet Content & Information,2870212096
PRAA,Financial Services,Credit Services,723971200
PRGO,Healthcare,Drug Manufacturers - Specialty & Generic,1899789440
PRKS,Consumer Cyclical,Leisure,1610069760
PRM,Basic Materials,Specialty Chemicals,5159412224
PRMB,Consumer Defensive,Beverages - Non-Alcoholic,7568243200
PRS,,,
PSA,Real Estate,REIT - Industrial,55253151744
PSFE,Technology,Software - Infrastructure,332090400
PSX,Energy,Oil & Gas Refining & Marketing,106486333440
PTC,Technology,Software - Application,14763362304
PTCT,Healthcare,Biotechnology,5477532160
PTEN,Energy,Oil & Gas Drilling,4906515968
PTGX,Healthcare,Biotechnology,9278844928
PTON,Consumer Cyclical,Leisure,2132916992
PUMP,Energy,Oil & Gas Equipment & Services,1271841664
PVH,Consumer Cyclical,Apparel Manufacturing,3333458432
PWR,Industrials,Engineering & Construction,92013166592
PYPL,Financial Services,Credit Services,46045179904
PZZA,Consumer Cyclical,Restaurants,680655872
Q,Technology,Semiconductor Equipment & Materials,23427174400
QCOM,Technology,Semiconductors,202023632896
QGEN,Healthcare,Diagnostics & Research,8859668480
QLYS,Technology,Software - Infrastructure,6372399104
QNT,Technology,Software - Application,12986324992
QQQ,,,
QRVO,Technology,Semiconductors,10365159424
QSR,Consumer Cyclical,Restaurants,34981355520
QTWO,Technology,Software - Application,3799271680
RACE,Consumer Cyclical,Auto Manufacturers,71553777664
RAL,Technology,Electronic Components,7272368128
RARE,Healthcare,Biotechnology,1284612992
RBA,Industrials,Specialty Business Services,15905902592
RBLX,Communication Services,Electronic Gaming & Multimedia,36182425600
RBRK,Technology,Software - Infrastructure,20840140800
RCL,Consumer Cyclical,Travel Services,67106426880
RDDT,Communication Services,Internet Content & Information,30916196352
RDN,Financial Services,Insurance - Specialty,4609377792
REAL,Consumer Cyclical,Luxury Goods,1142491776
REGN,Healthcare,Biotechnology,80221503488
REXR,Real Estate,REIT - Industrial,8916744192
REZI,Industrials,Industrial Distribution,2924580608
RF,Financial Services,Banks - Regional,25391759360
RGA,Financial Services,Insurance - Reinsurance,16220279808
RGEN,Healthcare,Medical Instruments & Supplies,9841525760
RH,Consumer Cyclical,Specialty Retail,2432153856
RHI,Industrials,Staffing & Employment Services,3944001024
RIG,Energy,Oil & Gas Drilling,6539333120
RIO,Basic Materials,Other Industrial Metals & Mining,157512892416
RIOT,Financial Services,Capital Markets,7427913216
RIVN,Consumer Cyclical,Auto Manufacturers,22854479872
RJF,Financial Services,Asset Management,32489873408
RKT,Financial Services,Mortgage Finance,36797194240
RL,Consumer Cyclical,Apparel Manufacturing,20064313344
RMBS,Technology,Semiconductors,8907951104
RMD,Healthcare,Medical Instruments & Supplies,33493510144
RNG,Technology,Software - Application,6063799808
RNR,Financial Services,Insurance - Reinsurance,13552980992
ROG,Technology,Electronic Components,2352009216
ROIV,Healthcare,Biotechnology,28603990016
ROK,Industrials,Specialty Industrial Machinery,46486908928
ROKU,Communication Services,Entertainment,23360724992
ROL,Consumer Cyclical,Personal Services,16373378048
ROP,Technology,Software - Application,38163619840
ROST,Consumer Cyclical,Apparel Retail,72782020608
RPD,Technology,Software - Infrastructure,864076160
RPRX,Healthcare,Biotechnology,33762926592
RRC,Energy,Oil & Gas E&P,9835571200
RRX,Industrials,Specialty Industrial Machinery,10126563328
RSG,Industrials,Waste Management,69049499648
RSP,,,
RTX,Industrials,Aerospace & Defense,264093188096
RUN,Technology,Solar,2001428480
RVLV,Consumer Cyclical,Internet Retail,1471468288
RVMD,Healthcare,Biotechnology,43392405504
RVTY,Healthcare,Diagnostics & Research,15435747328
RYAAY,Industrials,Airlines,26950774784
S,Technology,Software - Infrastructure,8139128832
SABR,Technology,Software - Infrastructure,871739776
SAIL,Technology,Software - Infrastructure,11515287552
SAM,Consumer Defensive,Beverages - Brewers,1754320000
SANM,Technology,Electronic Components,10262821888
SAP,Technology,Software - Application,251201028096
SARO,Industrials,Aerospace & Defense,7688912896
SBAC,Real Estate,REIT - Specialty,19238017024
SBH,Consumer Cyclical,Specialty Retail,1487658240
SBNY,Financial Services,Banks - Regional,59825336
SBUX,Consumer Cyclical,Restaurants,109787701248
SCHW,Financial Services,Capital Markets,187563753472
SCI,Consumer Cyclical,Personal Services,11073691648
SCOR,Technology,Software - Application,74261984
SDCCQ,Healthcare,Medical Instruments & Supplies,40260
SE,Consumer Cyclical,Internet Retail,63511584768
SEI,Energy,Oil & Gas Equipment & Services,6278078464
SEIC,Financial Services,Asset Management,12654823424
SFD,Consumer Defensive,Packaged Foods,7859597312
SFIX,Consumer Cyclical,Apparel Retail,388269248
SG,Consumer Cyclical,Restaurants,821980288
SGI,Consumer Cyclical,"Furnishings, Fixtures & Appliances",13808390144
SGOV,,,
SHAZ,Technology,Information Technology Services,1781224320
SHC,Healthcare,Diagnostics & Research,5377887744
SHEL,Energy,Oil & Gas Integrated,282695270400
SHOP,Technology,Software - Application,168811888640
SHW,Basic Materials,Specialty Chemicals,78544396288
SIG,Consumer Cyclical,Luxury Goods,3856630784
SIRI,Communication Services,Entertainment,10014257152
SITE,Industrials,Industrial Distribution,3805004032
SITM,Technology,Semiconductors,16304098304
SJM,Consumer Defensive,Packaged Foods,12921332736
SKY,Consumer Cyclical,Residential Construction,4541076480
SLB,Energy,Oil & Gas Equipment & Services,80418299904
SLM,Financial Services,Credit Services,4889880064
SMCI,Technology,Computer Hardware,23769008128
SMG,Basic Materials,Agricultural Inputs,3298469376
SMH,,,
SMTC,Technology,Semiconductors,14008176640
SN,Consumer Cyclical,"Furnishings, Fixtures & Appliances",23805145088
SNA,Industrials,Tools & Accessories,19501901824
SNAP,Communication Services,Internet Content & Information,9986523136
SNDK,Technology,Computer Hardware,224576012288
SNDX,Healthcare,Biotechnology,1600203776
SNNRF,,,
SNOW,Technology,Software - Application,113964982272
SNPS,Technology,Software - Infrastructure,69788319744
SNY,Healthcare,Drug Manufacturers - General,102135357440
SO,Utilities,Utilities - Regulated Electric,99126779904
SOFI,Financial Services,Credit Services,22286045184
SOLS,Basic Materials,Specialty Chemicals,9070184448
SOLV,Healthcare,Medical Instruments & Supplies,15512487936
SONO,Technology,Consumer Electronics,1818178432
SONY,Technology,Consumer Electronics,140071239680
SPB,Consumer Defensive,Household & Personal Products,1969687808
SPCX,Industrials,Aerospace & Defense,1894683115520
SPGI,Financial Services,Financial Data & Stock Exchanges,121771171840
SPHR,Communication Services,Entertainment,5214656000
SPOT,Communication Services,Internet Content & Information,114885599232
SPY,,,
SRE,Utilities,Utilities - Diversified,53443276800
SRPT,Healthcare,Biotechnology,2194929664
SRRK,Healthcare,Biotechnology,5689808384
SSD,Basic Materials,Lumber & Wood Production,7067807744
SSNC,Technology,Software - Application,19103287296
SSRM,Basic Materials,Gold,7110317568
STE,Healthcare,Medical Devices,20754847744
STKL,,,
STLA,Consumer Cyclical,Auto Manufacturers,19458228224
STLD,Basic Materials,Steel,33987391488
STM,Technology,Semiconductors,42808090624
STNE,Technology,Software - Infrastructure,2265602048
STNG,Energy,Oil & Gas Midstream,4309250048
STT,Financial Services,Asset Management,50576715776
STUB,Communication Services,Internet Content & Information,2258151680
STX,Technology,Computer Hardware,173130219520
STZ,Consumer Defensive,Beverages - Brewers,21145579520
SU,Energy,Oil & Gas Integrated,84718469120
SUI,Real Estate,REIT - Residential,14769367040
SUNB,Industrials,Rental & Leasing Services,29673125888
SW,Consumer Cyclical,Packaging & Containers,22848219136
SWK,Industrials,Tools & Accessories,13354401792
SWKS,Technology,Semiconductors,13422684160
SWX,Utilities,Utilities - Regulated Gas,6250628608
SYF,Financial Services,Credit Services,24526452736
SYK,Healthcare,Medical Devices,107628683264
SYNA,Technology,Semiconductors,3829942272
SYRE,Healthcare,Biotechnology,7886261248
SYY,Consumer Defensive,Food Distribution,38188740608
T,Communication Services,Telecom Services,183986569216
TAK,Healthcare,Drug Manufacturers - Specialty & Generic,59734474752
TAL,Consumer Defensive,Education & Training Services,6431760896
TAP,Consumer Defensive,Beverages - Brewers,7346285568
TASK,Technology,Information Technology Services,765586688
TCOM,Consumer Cyclical,Travel Services,24819830784
TDG,Industrials,Aerospace & Defense,60295081984
TDOC,Healthcare,Health Information Services,1216374528
TDUP,Consumer Cyclical,Internet Retail,338184160
TDY,Technology,Scientific & Technical Instruments,27678046208
TEAM,Technology,Software - Application,48578605056
TECH,Healthcare,Biotechnology,11331686400
TECK,Basic Materials,Copper,31471990784
TEL,Technology,Electronic Components,58588786688
TENB,Technology,Software - Infrastructure,4228273920
TER,Technology,Semiconductor Equipment & Materials,51146874880
TEVA,Healthcare,Drug Manufacturers - Specialty & Generic,45469855744
TEX,Industrials,Farm & Heavy Construction Machinery,6696265216
TFC,Financial Services,Banks - Regional,61905907712
TFX,Healthcare,Medical Instruments & Supplies,5425785344
TGNA,,,
TGT,Consumer Defensive,Discount Stores,70379651072
TGTX,Healthcare,Biotechnology,8165478400
THC,Healthcare,Medical Care Facilities,21007407104
THO,Consumer Cyclical,Recreational Vehicles,3761925888
TJX,Consumer Cyclical,Apparel Retail,136869765120
TKO,Communication Services,Entertainment,36294356992
TLN,Utilities,Utilities - Independent Power Producers,13541527552
TM,Consumer Cyclical,Auto Manufacturers,231496024064
TME,Communication Services,Internet Content & Information,12964781056
TMO,Healthcare,Diagnostics & Research,235621466112
TMUS,Communication Services,Telecom Services,194923200512
TNET,Industrials,Staffing & Employment Services,3177525760
TNGX,Healthcare,Biotechnology,4034846208
TOL,Consumer Cyclical,Residential Construction,12391468032
TOST,Technology,Software - Infrastructure,18906380288
TPR,Consumer Cyclical,Luxury Goods,23341787136
TREE,Financial Services,Insurance Brokers,373311936
TREX,Industrials,Building Products & Equipment,4440303616
TRGP,Energy,Oil & Gas Midstream,61603889152
TRIP,Consumer Cyclical,Travel Services,1056559424
TRMB,Technology,Scientific & Technical Instruments,13761107968
TRN,Industrials,Railroads,2239509248
TROW,Financial Services,Asset Management,22349101056
TRU,Financial Services,Financial Data & Stock Exchanges,14831756288
TRV,Financial Services,Insurance - Property & Casualty,78762098688
TSCO,Consumer Cyclical,Specialty Retail,17024986112
TSLA,Consumer Cyclical,Auto Manufacturers,1416900116480
TSM,Technology,Semiconductors,2145384923136
TSN,Consumer Defensive,Farm Products,18596227072
TT,Industrials,Building Products & Equipment,92152332288
TTAN,Technology,Software - Application,5639995904
TTC,Industrials,Tools & Accessories,8892678144
TTE,Energy,Oil & Gas Integrated,206045872128
TTEK,Industrials,Engineering & Construction,9391710208
TTMI,Technology,Electronic Components,11646317568
TTWO,Communication Services,Electronic Gaming & Multimedia,40161550336
TUYA,Technology,Software - Infrastructure,1094402560
TV,Communication Services,Telecom Services,1199061504
TW,Financial Services,Capital Markets,22043523072
TWLO,Technology,Software - Infrastructure,37252743168
TXG,Healthcare,Medical Devices,9777049600
TXN,Technology,Semiconductors,240485138432
TXRH,Consumer Cyclical,Restaurants,11165521920
TXT,Industrials,Aerospace & Defense,13930080256
U,Technology,Software - Application,18809401344
UA,Consumer Cyclical,Apparel Manufacturing,2102625408
UAL,Industrials,Airlines,34569920512
UBER,Technology,Software - Application,147125600256
UBS,Financial Services,Banks - Diversified,156638724096
UHAL,Industrials,Rental & Leasing Services,12222298112
UHAL-B,Industrials,Rental & Leasing Services,10846018560
UHS,Healthcare,Medical Care Facilities,10391392256
UL,Consumer Defensive,Household & Personal Products,134818054144
ULTA,Consumer Cyclical,Specialty Retail,23095449600
UNF,Industrials,Specialty Business Services,4849270784
UNH,Healthcare,Healthcare Plans,337939955712
UNIT,Real Estate,REIT - Specialty,2349579264
UNM,Financial Services,Insurance - Life,15116557312
UNP,Industrials,Railroads,169177858048
UPS,Industrials,Integrated Freight & Logistics,87154065408
UPST,Financial Services,Credit Services,2468832000
URBN,Consumer Cyclical,Apparel Retail,6521738240
URI,Industrials,Rental & Leasing Services,61327523840
USB,Financial Services,Banks - Regional,96988700672
USFD,Consumer Defensive,Food Distribution,19580094464
UTHR,Healthcare,Drug Manufacturers - Specialty & Generic,21497243648
V,Financial Services,Credit Services,700488155136
VAC,Consumer Cyclical,Resorts & Casinos,3456643584
VAL,Energy,Oil & Gas Drilling,6022861824
VALE,Basic Materials,Other Industrial Metals & Mining,61942628352
VC,Consumer Cyclical,Auto Parts,2628698880
VECO,Technology,Semiconductor Equipment & Materials,2460259840
VEEV,Healthcare,Health Information Services,43887013888
VFC,Consumer Cyclical,Apparel Manufacturing,5026225152
VIA,Technology,Software - Application,2254561536
VIAV,Technology,Communication Equipment,8273521152
VICI,Real Estate,REIT - Diversified,27290206208
VIK,Consumer Cyclical,Travel Services,38138429440
VIPS,Consumer Cyclical,Internet Retail,5793967616
VISN,Technology,Communication Equipment,1539431424
