ticker,sector,current_wt,target_wt,index_wt,price,trade_usd,shares,side,reason
XOM,Energy,0.0,0.012606637974818851,0.01110796970934844,160.9499969482422,3135901.1962361895,19484,BUY,enters sample
ABT,Healthcare,0.0,0.012282178554348606,0.0032263611982313615,110.36000061035156,3055191.915394216,27684,BUY,enters sample
DE,Industrials,0.0,0.011625855598926964,0.0029637552230258302,654.9099731445312,2891931.5802330826,4416,BUY,enters sample
COP,Energy,0.0,0.010932432538766858,0.002671456156241873,132.49000549316406,2719442.594018256,20526,BUY,enters sample
CVX,Energy,0.01895590778062685,0.010190628098743207,0.006835949470614219,206.13999938964844,-2180363.320868556,-10577,SELL,reweight
PFE,Healthcare,0.0,0.008570028345224565,0.002722605850401472,28.459999084472656,2131794.5508746104,74905,BUY,enters sample
T,Communication Services,0.007260670765895413,0.0,0.0,25.88999938964844,-1806091.853016484,-69760,SELL,leaves sample
DELL,Technology,0.0,0.006923153800501512,0.004967283864350676,456.010009765625,1722134.5078747512,3777,BUY,enters sample
BA,Industrials,0.0066910279526133844,0.0,0.002756348356996849,207.77999877929688,-1664393.2032125795,-8010,SELL,leaves sample
ISRG,Healthcare,0.006545904698866643,0.0,0.00223458342601785,376.8599853515625,-1628293.7938430775,-4321,SELL,leaves sample
MAR,Consumer Cyclical,0.006155963365461776,0.0,0.0014957967830749154,341.760009765625,-1531295.8871586167,-4481,SELL,leaves sample
LIN,Basic Materials,0.015651038587867087,0.009731867348630083,0.0037879636239216558,487.9729919433594,-1472393.8457602048,-3017,SELL,reweight
CRWD,Technology,0.0,0.005223502447405461,0.003969942419033521,231.0,1299346.2337921085,5625,BUY,enters sample
MRVL,Technology,0.0,0.00437695403362525,0.0031152203842275145,211.66000366210935,1088767.3158642808,5144,BUY,enters sample
BAC,Financial Services,0.017108247651427058,0.012752171261574892,0.007269742002300116,61.625579833984375,-1083574.0019757263,-17583,SELL,reweight
SNPS,Technology,0.0038998670207415626,0.0,0.0014139246586349365,439.5899963378906,-970091.9214094636,-2207,SELL,leaves sample
UNP,Industrials,0.01661442351604701,0.013901561215773293,0.0029980002470874198,300.6700134277344,-674824.4971930872,-2244,SELL,reweight
KO,Consumer Defensive,0.01500037968026013,0.012386525524752603,0.006403179998260606,88.66999816894531,-650196.2211824975,-7333,SELL,reweight
NXPI,Technology,0.0025838043175824004,0.0,0.0009519160117795527,224.63999938964844,-642721.3239986221,-2861,SELL,leaves sample
C,Financial Services,0.011642137325059402,0.009109910710181178,0.003864477582756395,131.6199951171875,-629891.370450958,-4786,SELL,reweight
RTX,Industrials,0.013367215014366805,0.01098403344171237,0.004699061008314443,207.72999572753903,-592816.4161977904,-2854,SELL,reweight
TJX,Consumer Cyclical,0.006080624710621175,0.008411112321524018,0.002472267003257432,133.91000366210938,579708.793212082,4329,BUY,reweight
NVDA,Technology,0.08918732978608694,0.0869361703747205,0.08930518526504418,220.53323364257812,-559975.9035774028,-2539,SELL,reweight
AAPL,Technology,0.07504103343303214,0.07298846429198201,0.07761279522001939,316.8500061035156,-510576.57383622084,-1611,SELL,reweight
FTNT,Technology,0.0055608801792131545,0.003699533059612241,0.002104964525342828,170.92999267578125,-463010.0960007272,-2709,SELL,reweight
WFC,Financial Services,0.013337237668972908,0.01153307573688986,0.004384752344557494,86.38999938964844,-448785.28060565825,-5195,SELL,reweight
MSFT,Technology,0.058742521678960866,0.0600795878356785,0.0632243798652576,507.2900085449219,332595.2064835121,656,BUY,reweight
AXP,Financial Services,0.008098404880790916,0.009405816913200976,0.0037423173009750272,330.1700134277344,325218.74306200235,985,BUY,reweight
WELL,Real Estate,0.009035860208286617,0.007730958781829579,0.0027990162678439502,236.2400054931641,-324594.22983118816,-1374,SELL,reweight
TMO,Healthcare,0.010813849584750748,0.00950965835210085,0.0038296618694968225,617.0999755859375,-324417.5691216624,-526,SELL,reweight
MRK,Healthcare,0.012036758791524353,0.01078190229752737,0.006118657402188795,147.75999450683594,-312145.55288174946,-2113,SELL,reweight
PANW,Technology,0.007334937407328609,0.006146838994315029,0.005227194440028144,382.1300048828125,-295539.4802371281,-773,SELL,reweight
